Seqno,RunId,PreProcessor,Optimizer,Regularization,HiddenLayer,HiddenUnit,InputKeepProb,KeepProb,Alpha,lrdecay,decaystep,RS,Epoch,Minibatch,AUC(Train),AUC(Traindev),AUC(Val),AUC(Test),Loss(Train),Accuracy(Train),NullAccuracy(Train),Accuracy(Traindev),NullAccuracy(Traindev),Accuracy(Val),NullAccuracy(Val),Accuracy(Test),NullAccuracy(Test),Duration,StartTime,EndTime,Model Location,TFromDate,TToDate,TrainRow#,ValidationFromD,ValidationToD,TestFromD,TestToD,
38,06EF2P,MinMax,Adam,L2,6,299,1,1,0.01,0.99,100,39987,1000,16384,0.8181,0.8002,0.4791,0.5718,0.4771,77.99%,68.36%,76.71%,68.08%,53.92%,69.71%,54.39%,78.59%,2h4'19'',Fri Mar  2 21:20:56 2018,Fri Mar  2 23:25:15 2018,/home/topleaf/stock/savedModel/06EF2P,2009/3/30,2015/08/31,1066139,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
40,RRK395,MinMax,Adam,L2,10,124,1,1,0.01,0.99,100,39987,1000,16384,0.8509,0.8353,0.5678,0.5695,0.4351,79.88%,68.97%,79.67%,69.51%,66.64%,69.71%,71.93%,78.59%,2h22'12'',Tue Mar  6 16:54:30 2018,Tue Mar  6 19:16:43 2018,/home/topleaf/stock/savedModel/RRK395,2005/1/1,2012/12/31,1007339,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
41,NERGD0,MinMax,Adam,L2,10,124,1,1,0.01,0.99,100,39987,1000,16384,0.8535,0.8273,0.589,0.611,0.4286,80.23%,69.79%,78.61%,69.29%,69.72%,69.71%,77.99%,78.59%,1h34'20'',Tue Mar  6 19:16:43 2018,Tue Mar  6 20:51:03 2018,/home/topleaf/stock/savedModel/NERGD0,2007/12/31,2013/5/30,790979,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
42,CXOTLV,MinMax,Adam,L2,10,124,1,1,0.01,0.99,100,39987,1000,16384,0.8371,0.8264,0.5704,0.5783,0.4524,79.03%,68.82%,78.48%,68.96%,68.59%,69.71%,72.41%,78.59%,2h42'58'',Fri Mar  9 16:15:59 2018,Fri Mar  9 18:58:58 2018,/home/topleaf/stock/savedModel/CXOTLV,2006/01/01,2013/12/31,1097307,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
43,H5XX3M,MinMax,Adam,L2,10,124,1,1,0.01,0.99,100,39987,1000,16384,0.8338,0.8194,0.5462,0.568,0.4581,78.80%,68.21%,78.33%,68.43%,63.22%,69.71%,65.57%,78.59%,3h12'18'',Fri Mar  9 18:58:58 2018,Fri Mar  9 22:11:16 2018,/home/topleaf/stock/savedModel/H5XX3M,2008/01/01,2015/12/31,1267352,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
44,7L1CWU,MinMax,Adam,L2,10,124,1,1,0.01,0.99,100,39987,1000,16384,0.8324,0.818,0.5241,0.5417,0.4569,78.87%,68.56%,78.02%,68.63%,61.13%,69.71%,56.27%,78.59%,3h5'27'',Fri Mar  9 22:32:59 2018,Sat Mar 10 01:38:27 2018,/home/topleaf/stock/savedModel/7L1CWU,2007/1/1,2014/12/31,1189724,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
45,ANVL9T,MinMax,Adam,L2,10,124,1,1,0.01,0.99,100,39987,1000,16384,0.822,0.8173,0.5574,0.5708,0.4693,78.10%,68.12%,77.72%,67.00%,65.59%,69.71%,61.28%,78.59%,3h53'38'',Sat Mar 10 10:41:03 2018,Sat Mar 10 14:34:42 2018,/home/topleaf/stock/savedModel/ANVL9T,2009/1/1,2016/12/31,1383713,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
46,B1PUJ6,MinMax,Adam,L2,10,124,1,1,0.01,0.99,100,39987,1000,16384,0.8114,0.7999,0.5377,0.593,0.4753,75.75%,69.30%,75.40%,69.70%,67.55%,69.71%,62.28%,78.59%,3h18'11'',Sun Mar 11 10:05:59 2018,Sun Mar 11 13:24:11 2018,/home/topleaf/stock/savedModel/B1PUJ6,2010/01/01,2017/6/30,1367349,2017/07/03,2017/09/30,2017/10/01,2017/12/28,
7,78BASI,MinMax,Adam,L2,4,103,1,1,0.01,0.99,100,39987,1000,16384,0.8351,0.8263,0.5883,0.4889,0.4371,80.63%,71.72%,80.53%,71.14%,74.70%,75.57%,60.09%,61.73%,1h16'31'',Tue Mar 13 12:10:15 2018,Tue Mar 13 13:26:47 2018,/home/topleaf/stock/savedModel/78BASI,2010/12/31,2013/12/30,542604,2014/01/31,2014/04/30,2014/5/1,2014/7/31,
8,EXPXVO,MinMax,Adam,L2,4,103,1,1,0.01,0.99,100,39987,1000,16384,0.8569,0.832,0.5402,0.5372,0.4136,81.68%,71.20%,80.88%,71.97%,73.05%,75.57%,61.23%,61.73%,1h2'23'',Tue Mar 13 21:38:58 2018,Tue Mar 13 22:41:22 2018,/home/topleaf/stock/savedModel/EXPXVO,2009/12/31,2012/12/30,481376,2014/01/31,2014/04/30,2014/5/1,2014/7/31,
8,MVMCJ6,MinMax,Adam,L2,4,103,1,1,0.01,0.99,100,39987,1000,16384,0.8558,0.8354,0.5796,0.5203,0.4186,79.75%,71.20%,79.37%,71.58%,75.36%,75.57%,61.67%,61.73%,1h6'14'',Fri Mar 16 19:44:13 2018,Fri Mar 16 20:50:27 2018,/home/topleaf/stock/savedModel/MVMCJ6,2009/12/31,2012/12/30,481376,2014/01/31,2014/04/30,2014/5/1,2014/7/31,
