Seqno,Preprocessor,Optimizer,Regularization,HiddenLayer,HiddenUnit,InputKeepProb,KeepProb,Alpha,lrdecay,decaystep,RS,Epoch,Minibatch,Skip,TFromDate,TToDate,TestFromD,TestToD,ValidationDays,Comments(rows #),"commentsOnTestResult(TrainAUC,TraindevAUC)"
1110,Standard,Adam,L2,5,54,1,1,0.01,0.99,100,39987,2000,65536,y,2015/12/24,2016/11/29,2017/06/01,2017/08/31,90,,
1111,Standard,Adam,L2,6,50,1,1,0.01,0.99,100,39987,2000,65536,y,2015/12/24,2016/11/29,2017/06/01,2017/08/31,90,,
1112,Standard,Adam,L2,1,627,1,1,0.01,0.99,100,39987,2000,65536,y,2015/12/24,2016/11/29,2017/06/01,2017/08/31,90,,
1113,MinMax,Adam,L2,2,251,1,1,0.01,0.99,100,39987,2000,65536,y,2015/12/24,2016/11/29,2017/06/01,2017/08/31,90,,
1114,MinMax,Adam,L2,3,191,1,1,0.01,0.99,100,39987,2000,65536,y,2015/12/24,2016/11/29,2017/06/01,2017/08/31,90,,
1115,MinMax,Adam,L2,4,161,1,1,0.01,0.99,100,39987,2000,65536,y,2015/12/24,2016/11/29,2017/06/01,2017/08/31,90,,
1116,MinMax,Adam,L2,5,142,1,1,0.01,0.99,100,39987,2000,65536,y,2015/12/24,2016/11/29,2017/06/01,2017/08/31,90,,
1117,MinMax,Adam,L2,6,129,1,1,0.01,0.99,100,39987,2000,65536,y,2015/12/24,2016/11/29,2017/06/01,2017/08/31,90,melt down 12 months vs 3 months,
1200,MinMax,Adam,L2,1,176,1,1,0.01,0.99,100,39987,2000,65536,y,2016/11/30,2017/08/28,2017/08/30,2017/08/30,1,Stable 9 months vs 1 day,
1201,MinMax,Adam,L2,2,107,1,1,0.01,0.99,100,39987,2000,65536,y,2016/11/30,2017/08/28,2017/08/30,2017/08/30,1,,
1202,Standard,Adam,L2,3,86,1,1,0.01,0.99,100,39987,2000,65536,y,2016/11/30,2017/08/28,2017/08/30,2017/08/30,1,,
1203,MinMax,Adam,L2,4,75,1,1,0.01,0.99,100,39987,2000,65536,y,2016/11/30,2017/08/28,2017/08/30,2017/08/30,1,,
1204,MinMax,Adam,L2,5,67,1,1,0.01,0.99,100,39987,2000,65536,y,2016/11/30,2017/08/28,2017/08/30,2017/08/30,1,,
1205,Standard,Adam,L2,6,62,1,1,0.01,0.99,100,39987,2000,65536,y,2016/11/30,2017/08/28,2017/08/30,2017/08/30,1,,
1206,Standard,Adam,L2,1,105,1,1,0.01,0.99,100,39987,2000,65536,y,2016/11/30,2017/08/28,2017/08/30,2017/08/30,1,,
1207,MinMax,Adam,L2,2,73,1,1,0.01,0.99,100,39987,2000,65536,y,2016/11/30,2017/08/28,2017/08/30,2017/08/30,1,,
1208,MinMax,Adam,L2,3,61,1,1,0.01,0.99,100,39987,2000,65536,y,2016/11/30,2017/08/28,2017/08/30,2017/08/30,1,,
1209,MinMax,Adam,L2,4,54,1,1,0.01,0.99,100,39987,2000,65536,y,2016/11/30,2017/08/28,2017/08/30,2017/08/30,1,,
1210,MinMax,Adam,L2,5,49,1,1,0.01,0.99,100,39987,2000,65536,y,2016/11/30,2017/08/28,2017/08/30,2017/08/30,1,,
1211,MinMax,Adam,L2,6,45,1,1,0.01,0.99,100,39987,2000,65536,y,2016/11/30,2017/08/28,2017/08/30,2017/08/30,1,,
1212,MinMax,Adam,L2,1,527,1,1,0.01,0.99,100,39987,2000,65536,y,2016/11/30,2017/08/28,2017/08/30,2017/08/30,1,,
1213,MinMax,Adam,L2,2,225,1,1,0.01,0.99,100,39987,2000,65536,y,2016/11/30,2017/08/28,2017/08/30,2017/08/30,1,,
1214,MinMax,Adam,L2,3,172,1,1,0.01,0.99,100,39987,2000,65536,y,2016/11/30,2017/08/28,2017/08/30,2017/08/30,1,,
1215,MinMax,Adam,L2,4,146,1,1,0.01,0.99,100,39987,2000,65536,y,2016/11/30,2017/08/28,2017/08/30,2017/08/30,1,,
1216,MinMax,Adam,L2,5,129,1,1,0.01,0.99,100,39987,2000,65536,y,2016/11/30,2017/08/28,2017/08/30,2017/08/30,1,,
1217,MinMax,Adam,L2,6,117,1,1,0.01,0.99,100,39987,2000,65536,y,2016/11/30,2017/08/28,2017/08/30,2017/08/30,1,Stable 9 months vs 1 day,
1217,MinMax,Adam,L2,6,115,1,1,0.01,0.99,100,39987,3000,65536,y,2017/01/01,2017/05/31,2017/08/01,2017/08/30,30,5 months vs 1 month,
